pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
GOOD,GOOD,1,0,0,0,2,0,3,0,24,11,36,33,65%,35%,True
GOOD,GOOD,1,0,6,2,6,2,17,7,51,44,92,114,55%,45%,True
GOOD,GOOD,3,1,3,1,4,1,11,3,29,26,47,56,52%,48%,True
GOOD,GOOD,1,1,2,0,4,5,6,11,27,40,94,110,45%,55%,True
GOOD,GOOD,2,1,1,0,1,1,3,5,14,12,58,50,49%,51%,True
GOOD,GOOD,0,2,1,4,6,5,11,7,69,43,106,107,48%,52%,False
GOOD,GOOD,2,3,7,1,2,4,3,4,39,25,54,49,43%,57%,True
GOOD,GOOD,2,2,0,0,2,7,4,7,39,56,73,98,2,5,False
GOOD,GOOD,0,1,0,1,2,1,11,5,50,51,118,105,54%,46%,False
GOOD,GOOD,1,1,0,0,1,1,5,1,17,21,64,48,60%,40%,False
GOOD,GOOD,0,1,1,2,1,5,6,0,55,34,158,94,59%,41%,False
GOOD,GOOD,1,2,0,1,0,2,2,0,27,13,76,43,60%,40%,False
GOOD,GOOD,1,0,0,0,3,2,12,3,65,57,106,90,2,1,False
GOOD,GOOD,0,0,6,1,0,1,11,3,69,28,128,81,48%,52%,True
GOOD,GOOD,0,0,3,2,0,1,7,2,42,13,75,26,49%,51%,False
GOOD,GOOD,0,0,0,0,1,2,6,15,26,35,99,104,50%,50%,False
GOOD,GOOD,1,1,0,0,0,1,4,7,8,21,47,53,43%,57%,True
GOOD,GOOD,1,2,0,0,4,4,4,5,48,44,90,105,2,3,False
GOOD,GOOD,1,0,0,0,4,5,5,8,82,83,120,133,2,2,False
GOOD,GOOD,0,0,0,0,5,3,3,10,97,70,95,103,1,2,True
GOOD,GOOD,0,1,4,0,3,2,8,5,77,68,99,112,50%,50%,True
GOOD,GOOD,0,1,2,0,1,2,5,1,38,29,53,57,47%,53%,False
GOOD,GOOD,1,0,5,0,3,7,13,3,70,68,106,98,2,2,False
GOOD,GOOD,1,0,0,0,10,1,15,3,51,34,92,94,45%,55%,False
GOOD,GOOD,2,0,0,0,5,0,10,1,25,14,48,45,47%,53%,False
GOOD,GOOD,1,0,1,2,5,5,3,7,38,48,83,75,53%,47%,False
GOOD,GOOD,1,2,2,1,2,1,1,3,17,20,45,31,64%,36%,False
GOOD,GOOD,0,0,0,3,1,0,2,3,70,53,118,90,54%,46%,False
GOOD,GOOD,0,0,0,1,0,0,2,2,34,26,71,38,65%,35%,False
GOOD,GOOD,0,0,3,1,0,6,6,5,104,63,156,105,59%,41%,True
GOOD,GOOD,0,1,3,2,0,2,4,2,49,34,79,48,67%,33%,False
GOOD,GOOD,0,0,0,1,5,7,5,11,61,91,100,125,34%,66%,False
GOOD,GOOD,1,1,1,3,2,4,3,6,28,52,49,63,28%,72%,True
GOOD,GOOD,1,0,5,4,2,3,13,17,40,70,103,99,49%,51%,True
GOOD,GOOD,1,0,3,2,1,1,5,9,19,32,46,36,46%,54%,True
GOOD,GOOD,1,1,0,0,1,2,8,9,79,64,89,70,1,2,True
GOOD,GOOD,0,1,0,0,2,2,8,3,77,48,104,77,51%,49%,True
GOOD,GOOD,0,1,0,0,0,1,3,2,33,21,44,36,51%,49%,True
GOOD,GOOD,0,0,0,0,5,1,11,3,73,33,97,67,63%,37%,True
GOOD,GOOD,0,0,0,0,1,1,1,3,23,20,36,29,62%,38%,True
GOOD,GOOD,0,0,0,0,4,1,9,7,33,39,112,120,47%,53%,True
GOOD,GOOD,2,0,0,0,0,1,6,3,19,25,62,61,52%,48%,False
GOOD,GOOD,0,0,0,1,3,5,3,3,62,59,101,108,48%,52%,False
GOOD,GOOD,0,0,0,5,1,0,2,2,25,29,52,61,47%,53%,False
GOOD,GOOD,0,0,0,0,1,2,4,10,48,82,130,134,44%,56%,True
GOOD,GOOD,0,1,0,0,0,0,1,6,18,43,66,67,47%,53%,True
GOOD,GOOD,0,0,0,0,3,2,4,1,61,53,62,69,50%,50%,False
