time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,Spain Segunda Divis...,GOOD,GOOD,1,1,0,0,1,0,1,3,15,22,35,36,47%,53%,False
fh,Spain Tercera Group 3,GOOD,GOOD,0,1,0,0,8,1,14,3,50,16,93,65,65%,35%,True
lh,Spain Tercera Group 3,GOOD,GOOD,1,1,0,0,4,1,3,2,22,11,46,42,57%,43%,False
fh,Spain Youth League,GOOD,GOOD,2,0,0,0,3,4,8,2,73,27,140,65,73%,27%,False
lh,Spain Youth League,GOOD,GOOD,2,2,0,0,2,0,4,0,38,10,76,30,75%,25%,True
fh,Turkey Super Lig,GOOD,GOOD,1,0,3,4,5,6,8,9,50,52,54,82,52%,48%,True
lh,Turkey Super Lig,GOOD,GOOD,1,2,1,4,4,1,5,4,27,23,26,40,57%,43%,True
fh,France Ligue 1,GOOD,GOOD,2,1,4,4,7,8,7,10,37,83,82,146,38%,62%,True
lh,France Ligue 1,GOOD,GOOD,3,2,1,6,3,4,4,6,16,36,30,61,40%,60%,False
fh,Portugal Campeonato...,GOOD,GOOD,1,0,0,0,4,4,5,6,57,52,65,65,53%,47%,True
lh,Portugal Campeonato...,GOOD,GOOD,1,2,0,0,3,1,1,1,23,30,35,28,59%,41%,True
fh,Mali Premiere Division,GOOD,GOOD,0,0,0,0,3,5,6,2,80,56,97,87,57%,43%,False
lh,Mali Premiere Division,GOOD,GOOD,0,1,0,0,1,2,3,2,31,31,43,39,58%,42%,False
fh,Italy Serie C Group C,GOOD,GOOD,0,1,0,0,3,1,11,4,75,58,124,99,57%,43%,False
lh,Italy Serie C Group C,GOOD,GOOD,3,1,0,0,0,1,6,1,36,20,58,36,61%,39%,False
fh,Italy Serie C Group C,GOOD,GOOD,0,0,1,0,2,3,4,7,52,51,81,109,42%,58%,True
lh,Italy Serie C Group C,GOOD,GOOD,0,0,2,0,1,1,4,3,32,23,46,53,46%,54%,True
fh,England EFL Cup,GOOD,GOOD,0,0,7,0,7,3,8,3,51,14,135,84,62%,38%,True
lh,England EFL Cup,GOOD,GOOD,2,0,3,3,1,1,6,1,36,3,84,30,69%,31%,False
fh,Italy Serie C Group C,GOOD,GOOD,1,2,2,2,4,3,5,3,84,40,108,56,60%,40%,True
lh,Italy Serie C Group C,GOOD,GOOD,3,3,6,1,2,2,3,1,30,30,46,24,56%,44%,True
fh,Italy Serie C Group C,GOOD,GOOD,3,0,0,0,6,7,5,4,58,55,98,69,56%,44%,True
lh,Italy Serie C Group C,GOOD,GOOD,5,1,0,0,4,2,4,1,33,18,50,31,64%,36%,False
fh,Italy Serie C Group C,GOOD,GOOD,0,0,0,0,2,2,2,7,58,60,83,75,52%,48%,False
lh,Italy Serie C Group C,GOOD,GOOD,0,1,0,0,0,0,0,6,18,40,41,50,40%,60%,True
fh,Italy Serie C Group C,GOOD,GOOD,1,0,1,3,3,2,9,5,57,28,100,94,56%,44%,False
lh,Italy Serie C Group C,GOOD,GOOD,1,1,4,3,2,0,5,4,28,15,48,52,46%,54%,False
fh,Italy Serie C Group C,GOOD,GOOD,1,1,7,0,7,3,6,6,110,55,139,77,62%,38%,True
lh,Italy Serie C Group C,GOOD,GOOD,2,2,2,0,6,1,4,4,47,22,55,32,57%,43%,True
fh,Germany Bundesliga I,GOOD,GOOD,0,2,0,0,2,19,3,12,16,67,45,192,30%,70%,False
lh,Germany Bundesliga I,GOOD,GOOD,1,4,0,0,1,10,1,7,7,36,21,111,28%,72%,False
fh,Spain Tercera Group 4,GOOD,GOOD,1,0,0,0,2,3,3,4,55,78,126,173,38%,62%,False
lh,Spain Tercera Group 4,GOOD,GOOD,1,0,0,0,1,3,2,1,18,47,57,78,35%,65%,True
fh,Spain Tercera Group 9,GOOD,GOOD,2,0,0,0,10,3,7,9,34,37,89,87,52%,48%,True
lh,Spain Tercera Group 9,GOOD,GOOD,2,0,0,0,6,0,5,6,19,20,44,41,58%,42%,True
fh,Spain Segunda Divis...,GOOD,GOOD,1,0,0,2,9,5,6,3,33,30,69,74,48%,52%,True
lh,Spain Segunda Divis...,GOOD,GOOD,5,0,0,0,3,5,5,2,18,16,37,44,42%,58%,False
fh,Italy Serie A,GOOD,GOOD,0,4,1,2,6,7,9,6,49,24,128,67,58%,42%,True
lh,Italy Serie A,GOOD,GOOD,2,4,1,1,0,6,2,4,14,14,52,33,45%,55%,False
fh,Malta Premier League,GOOD,GOOD,1,0,0,2,4,3,2,12,27,67,102,137,39%,61%,True
lh,Malta Premier League,GOOD,GOOD,1,0,1,2,3,1,2,7,17,25,53,68,42%,58%,True
fh,Guatemala Liga Naci...,GOOD,GOOD,2,0,0,0,8,6,6,8,55,49,81,80,53%,47%,True
lh,Guatemala Liga Naci...,GOOD,GOOD,2,0,0,0,3,3,2,3,23,22,41,40,51%,49%,False
fh,Guatemala Liga Naci...,GOOD,GOOD,0,0,0,0,2,2,2,1,65,37,55,46,61%,39%,True
lh,Guatemala Liga Naci...,GOOD,GOOD,1,0,0,0,0,2,1,0,32,15,26,24,59%,41%,False
fh,Mexico U20 League,GOOD,GOOD,0,3,0,0,6,6,8,5,62,47,117,73,62%,38%,True
lh,Mexico U20 League,GOOD,GOOD,0,3,0,0,3,4,3,1,31,26,55,38,63%,37%,False
fh,Spain Segunda,GOOD,GOOD,0,1,3,2,9,3,9,10,60,40,109,114,54%,46%,False
lh,Spain Segunda,GOOD,GOOD,1,2,2,3,3,2,3,2,32,18,58,64,54%,46%,True
fh,Spain Segunda,GOOD,GOOD,0,0,1,1,9,6,7,7,34,34,84,99,60%,40%,False
lh,Spain Segunda,GOOD,GOOD,1,1,1,0,4,1,5,4,14,10,41,52,65%,35%,False
fh,Greece Super League,GOOD,GOOD,1,0,4,0,4,0,6,4,63,18,154,41,68%,32%,True
lh,Greece Super League,GOOD,GOOD,2,0,2,1,1,0,4,2,39,7,85,18,67%,33%,False
fh,Belgium First Divis...,GOOD,GOOD,0,1,0,0,0,5,5,4,51,37,110,113,49%,51%,True
lh,Belgium First Divis...,GOOD,GOOD,0,1,0,4,0,1,3,1,26,11,68,51,48%,52%,True
fh,Spain Tercera Group 2,GOOD,GOOD,2,0,2,2,7,4,6,10,28,42,84,108,43%,57%,True
lh,Spain Tercera Group 2,GOOD,GOOD,2,0,0,2,5,3,2,4,15,18,37,51,41%,59%,False
fh,Spain Primera Liga,GOOD,GOOD,0,1,0,0,3,4,27,6,88,37,134,86,67%,33%,True
lh,Spain Primera Liga,GOOD,GOOD,0,1,0,0,1,2,8,1,31,17,57,43,64%,36%,True
fh,Spain Primera Liga,GOOD,GOOD,0,0,0,1,1,3,8,7,53,26,113,88,71%,29%,False
lh,Spain Primera Liga,GOOD,GOOD,0,0,0,1,1,1,4,2,21,7,63,46,68%,32%,True
fh,Italy Serie B,GOOD,GOOD,1,1,1,3,3,1,12,7,57,23,117,87,61%,39%,True
lh,Italy Serie B,GOOD,GOOD,2,1,9,2,1,1,5,5,18,15,64,37,64%,36%,True
fh,Portugal Segunda Liga,GOOD,GOOD,0,0,0,1,1,1,6,6,76,63,128,101,56%,44%,False
lh,Portugal Segunda Liga,GOOD,GOOD,1,0,0,5,0,0,1,1,35,24,74,52,59%,41%,True
fh,Guatemala Primera D...,GOOD,GOOD,1,0,0,0,7,8,5,7,38,43,71,73,46%,54%,True
lh,Guatemala Primera D...,GOOD,GOOD,2,1,0,0,2,4,3,5,17,19,36,38,46%,54%,True
fh,Campeonato Alagoano,GOOD,GOOD,0,1,1,0,1,8,3,4,28,37,80,76,48%,52%,False
lh,Campeonato Alagoano,GOOD,GOOD,0,3,0,0,1,5,2,1,13,16,40,34,49%,51%,False
fh,Africa Cup of Nations,GOOD,GOOD,0,0,2,2,2,3,17,8,49,18,95,66,50%,50%,False
lh,Africa Cup of Nations,GOOD,GOOD,0,1,4,0,1,1,4,3,15,12,38,33,48%,52%,True
fh,England Premier Lea...,GOOD,GOOD,1,1,0,0,3,4,6,4,39,55,44,43,51%,49%,False
lh,England Premier Lea...,GOOD,GOOD,1,2,0,0,1,1,5,0,26,21,21,27,48%,52%,True
